Name,Price,Image URL,Number of Colors,Product Link,category
BLOUSE,25.90 TND,https://images.zen.com.tn/medias/folder_15_07_2024/8_U2_A8297_b54d678f42.webp,1 Couleurs,/fr/produit/3475-blouse,enfant
ENSEMBLE,55.90 TND,https://images.zen.com.tn/medias/folder_06_08_2024/8_U2_A3895_004fb00fc3.webp,2 Couleurs,/fr/produit/3529-ensemble,enfant
ROBE,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A3686_10a18d0d8e.JPG,2 Couleurs,/fr/produit/3888-robe,enfant
ROBE,49.90 TND,https://images.zen.com.tn/medias/folder_20_07_2024/8_U2_A8822_713bb4e414.webp,2 Couleurs,/fr/produit/3485-robe,enfant
ROBE,59.90 TND,https://images.zen.com.tn/medias/folder_10_09_2024/8_U2_A0055_4bb11eb66f.webp,1 Couleurs,/fr/produit/3576-robe,enfant
T SHIRT,25.90 TND,https://images.zen.com.tn/uploads/8_U2_A1173_a16a81d3ed.JPG,1 Couleurs,/fr/produit/5040-t-shirt,enfant
CHEMISE,39.90 TND,https://images.zen.com.tn/medias/folder_02_07_2024/8_U2_A5713_a95cf12468.webp,1 Couleurs,/fr/produit/3388-chemise,enfant
CHEMISE,27.93 TND  39.90 TND,https://images.zen.com.tn/uploads/8_U2_A0388_cfcb522e89.JPG,1 Couleurs,/fr/produit/4221-chemise,enfant
JUPE,27.93 TND  39.90 TND,https://images.zen.com.tn/uploads/8_U2_A1605_cebd592ad2.JPG,1 Couleurs,/fr/produit/4660-jupe,enfant
ROBE,69.90 TND,https://images.zen.com.tn/uploads/8_U2_A1190_23f00213fe.JPG,1 Couleurs,/fr/produit/5128-robe,enfant
SANDALE,79.90 TND,https://images.zen.com.tn/uploads/8_U2_A8155_2af414e2d7.JPG,2 Couleurs,/fr/produit/4970-sandale,enfant
T-SHIRT,25.90 TND,https://images.zen.com.tn/uploads/8_U2_A1166_d545d59649.JPG,1 Couleurs,/fr/produit/5075-t-shirt,enfant
JUPE,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A1360_cb492f73fc.JPG,3 Couleurs,/fr/produit/5022-jupe,enfant
SHORT,29.90 TND,https://images.zen.com.tn/uploads/8_U2_A1222_c0a53784e9.JPG,8 Couleurs,/fr/produit/4766-short,enfant
T SHIRT MANCHES LONGUES,27.93 TND  39.90 TND,https://images.zen.com.tn/uploads/8_U2_A8550_39d1679954.jpg,2 Couleurs,/fr/produit/4767-t-shirt-manches-longues,enfant
SHORT,25.90 TND,https://images.zen.com.tn/uploads/8_U2_A1231_c86bb6ebaf.JPG,7 Couleurs,/fr/produit/4740-short,enfant
CHEMISE,35.90 TND,https://images.zen.com.tn/medias/folder_06_08_2024/8_U2_A3869_f595c995aa.webp,3 Couleurs,/fr/produit/3544-chemise,enfant
POLO,35.90 TND,https://images.zen.com.tn/medias/folder_06_08_2024/8_U2_A3734_42461b6c00.webp,2 Couleurs,/fr/produit/3536-polo,enfant
POLO,29.90 TND,https://images.zen.com.tn/medias/folder_06_08_2024/8_U2_A3728_bdd9b94ed6.webp,1 Couleurs,/fr/produit/3556-polo,enfant
POLO,25.90 TND,https://images.zen.com.tn/medias/images/8U2A9956.webp,3 Couleurs,/fr/produit/3631-polo,enfant
SHORT,45.90 TND,https://images.zen.com.tn/medias/folder_07_10_2024/8_U2_A5627_e4e73fe5ab.webp,2 Couleurs,/fr/produit/3819-short,enfant
MOCASSIN,41.94 TND  69.90 TND,https://images.zen.com.tn/medias/folder_13_01_2024/8_U2_A8169_141c8aaaab.webp,1 Couleurs,/fr/produit/2203-mocassin,enfant
T SHIRT,29.90 TND,https://images.zen.com.tn/uploads/8_U2_A0413_8b76396804.JPG,3 Couleurs,/fr/produit/4867-t-shirt,enfant
T-SHIRT,29.90 TND,https://images.zen.com.tn/uploads/8_U2_A9064_da76d424ac.JPG,3 Couleurs,/fr/produit/4992-t-shirt,enfant
T SHIRT MANCHES LONGUES,25.13 TND  35.90 TND,https://images.zen.com.tn/uploads/8_U2_A9987_451e6b419e.JPG,2 Couleurs,/fr/produit/4669-t-shirt-manches-longues,enfant
T SHIRT MANCHES LONGUES,27.93 TND,https://images.zen.com.tn/uploads/8_U2_A0260_a00787e8eb.JPG,3 Couleurs,/fr/produit/4862-t-shirt-manches-longues,enfant
SWEAT SHIRT,34.93 TND  49.90 TND,https://images.zen.com.tn/uploads/8_U2_A4408_3a83e0f5b0.JPG,2 Couleurs,/fr/produit/4589-sweat-shirt,enfant
ROBE,46.13 TND  65.90 TND,https://images.zen.com.tn/uploads/8_U2_A9570_ab6f41efef.JPG,1 Couleurs,/fr/produit/4723-robe,enfant
PULL OVER,34.93 TND,https://images.zen.com.tn/uploads/8_U2_A9594_7828ebdfce.JPG,2 Couleurs,/fr/produit/4686-pull-over,enfant
JEAN WIDE LEG,65.90 TND,https://images.zen.com.tn/uploads/8_U2_A1348_e3451951d3.JPG,2 Couleurs,/fr/produit/4861-jean-wide-leg,enfant
PANTALON,48.93 TND  69.90 TND,https://images.zen.com.tn/uploads/8_U2_A9365_51442f2d39.JPG,2 Couleurs,/fr/produit/4320-pantalon,enfant
LEGGING,27.93 TND,https://images.zen.com.tn/uploads/8_U2_A9564_6b16e1c680.JPG,1 Couleurs,/fr/produit/4298-legging,enfant
JUPE,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A3824_bfd4659deb.JPG,1 Couleurs,/fr/produit/4523-jupe,enfant
JUPE,27.93 TND,https://images.zen.com.tn/uploads/8_U2_A5010_2467969517.JPG,1 Couleurs,/fr/produit/4927-jupe,enfant
GILET,41.93 TND,https://images.zen.com.tn/uploads/8_U2_A4368_38a4b46b4c.JPG,2 Couleurs,/fr/produit/4542-gilet,enfant
DEBARDEUR,34.93 TND  49.90 TND,https://images.zen.com.tn/uploads/8_U2_A2448_926a14bc11.JPG,2 Couleurs,/fr/produit/4492-debardeur,enfant
CHEMISE,39.13 TND,https://images.zen.com.tn/uploads/8_U2_A9468_7a9166fee0.JPG,1 Couleurs,/fr/produit/4684-chemise,enfant
CHEMISE,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A5564_21ca010e76.JPG,1 Couleurs,/fr/produit/4239-chemise,enfant
CHEMISE,34.93 TND  49.90 TND,https://images.zen.com.tn/uploads/8_U2_A9951_6844491c68.JPG,1 Couleurs,/fr/produit/4827-chemise,enfant
CHEMISE,32.13 TND,https://images.zen.com.tn/uploads/8_U2_A9477_9d3b26fe5c.JPG,2 Couleurs,/fr/produit/4746-chemise,enfant
BLOUSE,49.90 TND,https://images.zen.com.tn/uploads/8_U2_A9142_a508916032.JPG,2 Couleurs,/fr/produit/4953-blouse,enfant
BLOUSE,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A5499_50318fd1a4.JPG,1 Couleurs,/fr/produit/4909-blouse,enfant
VESTE,48.93 TND,https://images.zen.com.tn/uploads/8_U2_A9770_1d6a9c082b.JPG,2 Couleurs,/fr/produit/4772-veste,enfant
T SHIRT,27.93 TND  39.90 TND,https://images.zen.com.tn/uploads/8_U2_A2373_da986b9836.JPG,2 Couleurs,/fr/produit/4519-t-shirt,enfant
SWEAT SHIRT,39.13 TND,https://images.zen.com.tn/uploads/8_U2_A5575_33f1b3fafc.JPG,2 Couleurs,/fr/produit/4326-sweat-shirt,enfant
PANTALON,46.13 TND  65.90 TND,https://images.zen.com.tn/uploads/8_U2_A1400_2b63c604cd.JPG,2 Couleurs,/fr/produit/4646-pantalon,enfant
JACKET,48.93 TND  69.90 TND,https://images.zen.com.tn/uploads/8_U2_A9079_4433f0840e.JPG,1 Couleurs,/fr/produit/4987-jacket,enfant
VESTE,34.93 TND,https://images.zen.com.tn/uploads/8_U2_A1840_5cb21c7dc8.JPG,1 Couleurs,/fr/produit/4783-veste,enfant
SALOPETTE,25.13 TND  35.90 TND,https://images.zen.com.tn/uploads/8_U2_A9430_e58994f513.JPG,2 Couleurs,/fr/produit/4302-salopette,enfant
JEAN,49.90 TND,https://images.zen.com.tn/uploads/JEAN_STONE_2_515a18b4c6.JPG,2 Couleurs,/fr/produit/4284-jean,enfant
JUPE,25.13 TND  35.90 TND,https://images.zen.com.tn/uploads/8_U2_A8997_abd7104619.JPG,2 Couleurs,/fr/produit/4996-jupe,enfant
ENSEMBLE,46.13 TND,https://images.zen.com.tn/uploads/8_U2_A1667_0995be262c.JPG,2 Couleurs,/fr/produit/4674-ensemble,enfant
T SHIRT MANCHES  LONGUES,20.93 TND  29.90 TND,https://images.zen.com.tn/uploads/8_U2_A5581_d46c9b2c61.JPG,3 Couleurs,/fr/produit/4893-t-shirt-manches--longues,enfant
JUPE SHORT,25.13 TND  35.90 TND,https://images.zen.com.tn/uploads/8_U2_A1639_bac015b4c0.JPG,2 Couleurs,/fr/produit/4717-jupe-short,enfant
T SHIRT MANCHE,25.13 TND  35.90 TND,https://images.zen.com.tn/uploads/8_U2_A0194_9161d8c995.JPG,1 Couleurs,/fr/produit/4583-t-shirt-manche,enfant
JACKET,46.13 TND  65.90 TND,https://images.zen.com.tn/uploads/8_U2_A5692_0f47e2d2e8.JPG,1 Couleurs,/fr/produit/4890-jacket,enfant
PANTALON,65.90 TND,https://images.zen.com.tn/uploads/8_U2_A9082_0d69d117c1.JPG,2 Couleurs,/fr/produit/5004-pantalon,enfant
SALOPETTE,27.93 TND  39.90 TND,https://images.zen.com.tn/uploads/8_U2_A8970_4c3deca6de.JPG,1 Couleurs,/fr/produit/5012-salopette,enfant
SAC,55.90 TND,https://images.zen.com.tn/uploads/8_U2_A9858_ae1efdc03c.JPG,2 Couleurs,/fr/produit/5014-sac,enfant
ROBE,41.93 TND,https://images.zen.com.tn/uploads/8_U2_A9449_cb6f305c19.JPG,1 Couleurs,/fr/produit/4718-robe,enfant
PANTALON,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A9061_0f39186a9f.JPG,3 Couleurs,/fr/produit/4995-pantalon,enfant
ROBE,25.13 TND  35.90 TND,https://images.zen.com.tn/uploads/8_U2_A8987_6488d742c9.JPG,1 Couleurs,/fr/produit/4609-robe,enfant
T-SHIRT,25.13 TND,https://images.zen.com.tn/uploads/8_U2_A9019_1f1c9a6773.JPG,2 Couleurs,/fr/produit/4969-t-shirt,enfant
CEINTURE,29.90 TND,https://images.zen.com.tn/uploads/8_U2_A8615_1bd9911b71.JPG,3 Couleurs,/fr/produit/4966-ceinture,enfant
LEGGING,35.90 TND,https://images.zen.com.tn/uploads/8_U2_A8669_d2a04ebc0e.JPG,3 Couleurs,/fr/produit/4960-legging,enfant
ROBE,34.93 TND,https://images.zen.com.tn/uploads/8_U2_A9433_ac44fe4cb8.JPG,1 Couleurs,/fr/produit/4676-robe,enfant
ROBE,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A9425_6b30eea050.JPG,1 Couleurs,/fr/produit/4672-robe,enfant
T SHIRT,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A8996_e33abd8b0b.JPG,1 Couleurs,/fr/produit/4983-t-shirt,enfant
ROBE,41.93 TND  59.90 TND,https://images.zen.com.tn/uploads/8_U2_A9275_1168add56e.JPG,1 Couleurs,/fr/produit/4946-robe,enfant
JEAN,48.93 TND,https://images.zen.com.tn/uploads/8_U2_A8694_b649572ebc.JPG,1 Couleurs,/fr/produit/4990-jean,enfant
JEAN FLARE,69.90 TND,https://images.zen.com.tn/uploads/8_U2_A8728_146db3e0ef.JPG,2 Couleurs,/fr/produit/4965-jean-flare,enfant
