Name,Price,Image URL,Number of Colors,Product Link,category
,,No image available,,,femme
,,No image available,,,femme
,,No image available,,,femme
,,No image available,,,femme
,,No image available,,,femme
,,No image available,,,femme
GILET,69.90 TND,https://images.zen.com.tn/uploads/8_U2_A0879_a8f7044b0c.JPG,2 Couleurs,/fr/produit/5055-gilet,femme
GILET,69.90 TND,https://images.zen.com.tn/uploads/8_U2_A0879_a8f7044b0c.JPG,2 Couleurs,/fr/produit/5055-gilet,femme
T SHIRT,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A1011_20b70e4caa.jpg,3 Couleurs,/fr/produit/4534-t-shirt,femme
ROBE,99.90 TND,https://images.zen.com.tn/uploads/8_U2_A2045_a7fa8c72ba.jpg,1 Couleurs,/fr/produit/3614-robe,femme
ROBE,79.90 TND,https://images.zen.com.tn/uploads/8_U2_A2023_ef43887c3a.jpg,1 Couleurs,/fr/produit/3801-robe,femme
T SHIRT,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A9454_13e862297d.JPG,3 Couleurs,/fr/produit/4986-t-shirt,femme
T SHIRT,45.90 TND,https://images.zen.com.tn/uploads/8_U2_A1276_77702b80f6.jpg,3 Couleurs,/fr/produit/4873-t-shirt,femme
T SHIRT,59.90 TND,https://images.zen.com.tn/uploads/8_U2_A1051_9045f6081d.JPG,2 Couleurs,/fr/produit/5067-t-shirt,femme
T SHIRT,29.90 TND,https://images.zen.com.tn/uploads/8_U2_A0822_989847e29c.JPG,8 Couleurs,/fr/produit/5033-t-shirt,femme
T SHIRT,29.90 TND,https://images.zen.com.tn/uploads/8_U2_A0796_262cebe194.JPG,4 Couleurs,/fr/produit/5048-t-shirt,femme
BERMUDA JEANS,69.90 TND,https://images.zen.com.tn/uploads/8_U2_A0227_747ee72d07.JPG,1 Couleurs,/fr/produit/5023-bermuda-jeans,femme
CHEMISE,79.90 TND,https://images.zen.com.tn/uploads/8_U2_A0479_de6d05951b.JPG,2 Couleurs,/fr/produit/5044-chemise,femme
CHEMISE,59.90 TND,https://images.zen.com.tn/uploads/8_U2_A0471_4d78265501.JPG,1 Couleurs,/fr/produit/5056-chemise,femme
JUPE,49.90 TND,https://images.zen.com.tn/uploads/8_U2_A1404_3c7ca5d796.jpg,1 Couleurs,/fr/produit/4880-jupe,femme
ROBE,59.90 TND,https://images.zen.com.tn/uploads/8_U2_A0447_dcae4ff277.JPG,3 Couleurs,/fr/produit/5029-robe,femme
ROBE,59.90 TND,https://images.zen.com.tn/uploads/8_U2_A0423_e3a34e2f86.JPG,3 Couleurs,/fr/produit/5018-robe,femme
T SHIRT,29.90 TND,https://images.zen.com.tn/uploads/8_U2_A0693_28898ed670.JPG,2 Couleurs,/fr/produit/5031-t-shirt,femme
T SHIRT,45.90 TND,https://images.zen.com.tn/uploads/8_U2_A0653_539543f49c.JPG,1 Couleurs,/fr/produit/5026-t-shirt,femme
ROBE,69.90 TND,https://images.zen.com.tn/uploads/8_U2_A0518_13049baaef.JPG,2 Couleurs,/fr/produit/5052-robe,femme
CHEMISE,79.90 TND,https://images.zen.com.tn/uploads/8_U2_A0492_f2ff8589e0.JPG,2 Couleurs,/fr/produit/5043-chemise,femme
