Name,Price,Old Price,Promo,Number of Colors,Color Image URLs,Main Image URL,Product Link
MOCASSIN,54.95 TND  109.90 TND,109.90 TND,Promo,1 Couleurs,https://images.zen.com.tn/medias/folder_25_09_2023/8_U2_A6799d_9ffba00400.webp,https://images.zen.com.tn/medias/folder_25_09_2023/8_U2_A6779_ce9632b9d8.webp,https://www.zen.com.tn/fr/produit/1532-mocassin
BASKET,139.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/uploads/8_U2_A4630a_8de71a7448.jpg, https://images.zen.com.tn/uploads/8_U2_A4653a_c0f976a766.jpg",https://images.zen.com.tn/uploads/8_U2_A4645_c5de8cac3b.JPG,https://www.zen.com.tn/fr/produit/4932-basket
BASKETS,129.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/uploads/8_U2_A0863a_32a849a16b.jpg, https://images.zen.com.tn/uploads/8_U2_A0877a_233bbc4cb2.jpg",https://images.zen.com.tn/uploads/8_U2_A0851_f5c32383d6.JPG,https://www.zen.com.tn/fr/produit/4804-baskets
BASKETS,90.93 TND  129.90 TND,129.90 TND,Promo,2 Couleurs,"https://images.zen.com.tn/uploads/8_U2_A4448a_da33829657.jpg, https://images.zen.com.tn/uploads/8_U2_A0896a_d6497199fc.jpg",https://images.zen.com.tn/uploads/8_U2_A0889_3d8604854d.JPG,https://www.zen.com.tn/fr/produit/4803-baskets
MOCASSIN,76.93 TND  109.90 TND,109.90 TND,Promo,1 Couleurs,https://images.zen.com.tn/uploads/8_U2_A4536a_ce56c7041f.jpg,https://images.zen.com.tn/uploads/8_U2_A4527_ce75bcb4e4.JPG,https://www.zen.com.tn/fr/produit/4617-mocassin
MOCASSIN,76.93 TND,N/A,Promo,1 Couleurs,https://images.zen.com.tn/uploads/8_U2_A4555a_3af3696fe1.jpg,https://images.zen.com.tn/uploads/8_U2_A4550_5fdddd83ae.JPG,https://www.zen.com.tn/fr/produit/4618-mocassin
BASKET,129.90 TND,N/A,No,1 Couleurs,https://images.zen.com.tn/medias/folder_02_10_2024/8_U2_A4341a_6116776eb2.webp,https://images.zen.com.tn/medias/folder_02_10_2024/8_U2_A4330_6dda084a4f.webp,https://www.zen.com.tn/fr/produit/3838-basket
BOTTINE A TALON,97.93 TND  139.90 TND,139.90 TND,Promo,1 Couleurs,https://images.zen.com.tn/uploads/8_U2_A4269a_2392db3a36.jpg,https://images.zen.com.tn/uploads/8_U2_A3985_e1a21c64a7_e762162c71.jpg,https://www.zen.com.tn/fr/produit/4104-bottine-a-talon
MULE,69.90 TND,N/A,No,1 Couleurs,https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0156aa_7ae7e4442b.webp,https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0142_ff667d8733.webp,https://www.zen.com.tn/fr/produit/2994-mule
MULE,69.90 TND,N/A,No,1 Couleurs,https://images.zen.com.tn/medias/folder_29_05_2024/8_U2_A8187a_7b3e5c7dc1.webp,https://images.zen.com.tn/medias/folder_29_05_2024/8_U2_A8176_b8d74af9d2.webp,https://www.zen.com.tn/fr/produit/3184-mule
BASKET,90.93 TND  129.90 TND,129.90 TND,Promo,1 Couleurs,https://images.zen.com.tn/medias/folder_19_06_2024/8_U2_A9723a_0a226869bd.webp,https://images.zen.com.tn/medias/folder_19_06_2024/8_U2_A9715_8d3b4ff6e9.webp,https://www.zen.com.tn/fr/produit/3351-basket
BALLERINE,62.93 TND,N/A,Promo,1 Couleurs,https://images.zen.com.tn/medias/folder_07_11_2024/8_U2_A2414a_e60a7a05e3.webp,https://images.zen.com.tn/medias/folder_07_11_2024/8_U2_A2427_e5f8fd5a7f.webp,https://www.zen.com.tn/fr/produit/3971-ballerine
BALLERINE,62.93 TND  89.90 TND,89.90 TND,Promo,2 Couleurs,"https://images.zen.com.tn/medias/folder_11_10_2024/8_U2_A6773a_67a0bb629b.webp, https://images.zen.com.tn/medias/folder_11_10_2024/8_U2_A6921a_5fde28754a.webp",https://images.zen.com.tn/medias/folder_21_10_2024/8_U2_A7935_9b4f10090c.webp,https://www.zen.com.tn/fr/produit/3876-ballerine
BASKET,83.94 TND  139.90 TND,139.90 TND,Promo,1 Couleurs,https://images.zen.com.tn/medias/folder_18_09_2024/8_U2_A1243a_8ee58f303a.webp,https://images.zen.com.tn/medias/folder_23_09_2024/8_U2_A1235_0ace4b1641.webp,https://www.zen.com.tn/fr/produit/3777-basket
BASKET,83.93 TND,N/A,Promo,1 Couleurs,https://images.zen.com.tn/medias/folder_02_10_2024/8_U2_A4135a_44843ddbf3.webp,https://images.zen.com.tn/medias/folder_02_10_2024/8_U2_A4125_d1f176c498.webp,https://www.zen.com.tn/fr/produit/3837-basket
ESCARPINS A TALON,53.94 TND  89.90 TND,89.90 TND,Promo,2 Couleurs,"https://images.zen.com.tn/medias/folder_25_01_2024/8_U2_A8937a_0cb8237269.webp, https://images.zen.com.tn/medias/folder_25_01_2024/8_U2_A8906a_7bf038e8b6.webp",https://images.zen.com.tn/medias/folder_25_01_2024/8_U2_A8901_f833f0fb46.webp,https://www.zen.com.tn/fr/produit/2215-escarpins-a-talon
MOCASSIN,55.93 TND  79.90 TND,79.90 TND,Promo,2 Couleurs,"https://images.zen.com.tn/medias/folder_02_05_2024/8_U2_A0185a_2e505e9e8e.webp, https://images.zen.com.tn/medias/fx_folder_03_05_2024/8_U2_A0170a_016ee5cae4.webp",https://images.zen.com.tn/medias/fx_folder_03_05_2024/8_U2_A0179_408808ae01.webp,https://www.zen.com.tn/fr/produit/2901-mocassin
