Name,Price,Old Price,Promo,Number of Colors,Color Image URLs,Main Image URL,Product Link
CLAQUETTE,49.90 TND,N/A,No,1 Couleurs,https://images.zen.com.tn/uploads/8_U2_A2020aa_fde4ae74cd.jpg,https://images.zen.com.tn/uploads/8_U2_A2020_c1111a2d25.JPG,https://www.zen.com.tn/fr/produit/5057-claquette
BASKET,129.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/uploads/8_U2_A0952a_ee2c49d575.jpg, https://images.zen.com.tn/uploads/8_U2_A0923a_9d16d5c2a4.jpg",https://images.zen.com.tn/uploads/8_U2_A0914_60e6bc82b9.JPG,https://www.zen.com.tn/fr/produit/4801-basket
BASKET,129.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/uploads/8_U2_A0970a_593967fca9.jpg, https://images.zen.com.tn/uploads/8_U2_A0994a_bdc10e8b35.jpg",https://images.zen.com.tn/uploads/8_U2_A0959_aed5cfc82f.JPG,https://www.zen.com.tn/fr/produit/4802-basket
BASKET,119.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/uploads/8_U2_A4465_D_374c020a50.jpg, https://images.zen.com.tn/uploads/8_U2_A4488a_D_9089f5d374.jpg",https://images.zen.com.tn/uploads/8_U2_A4481_a21e47af52.JPG,https://www.zen.com.tn/fr/produit/4908-basket
BASKET,76.93 TND  109.90 TND,109.90 TND,Promo,2 Couleurs,"https://images.zen.com.tn/medias/folder_04_10_2024/8_U2_A4367a_e0b5805f51.webp, https://images.zen.com.tn/medias/folder_04_10_2024/8_U2_A4386a_69070c05cf.webp",https://images.zen.com.tn/medias/folder_04_10_2024/8_U2_A4356_d8dd3611c6.webp,https://www.zen.com.tn/fr/produit/3881-basket
PANTOUFLE À CARREAUX,49.90 TND,N/A,No,1 Couleurs,https://images.zen.com.tn/medias/folder_13_09_2023/8_U2_A4038a_eae3e88404.webp,https://images.zen.com.tn/medias/folder_13_09_2023/8_U2_A4038_42062493d9.webp,https://www.zen.com.tn/fr/produit/1456-pantoufle-a-carreaux
TONG,49.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/medias/fx_folder_03_05_2024/8_U2_A0312a_0f1cc1311a.webp, https://images.zen.com.tn/medias/folder_03_05_2024/8_U2_A0339a_0414a3077d.webp",https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0307_d942ff12bd.webp,https://www.zen.com.tn/fr/produit/3027-tong
TONG,49.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0294a_286cb3ffc4.webp, https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0273a_6aea07d9f2.webp",https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0256_3444b32821.webp,https://www.zen.com.tn/fr/produit/3028-tong
TONGS,49.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0420aa_fbce077dd5.webp, https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0445aa_07219fbb73.webp",https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0404_2093ac4aff.webp,https://www.zen.com.tn/fr/produit/2940-tongs
TONGS,49.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/medias/folder_01_06_2024/8_U2_A1448a_f54fcb65f9.webp, https://images.zen.com.tn/medias/folder_01_06_2024/8_U2_A1407a_ca14f65114.webp",https://images.zen.com.tn/medias/folder_01_06_2024/8_U2_A1398_1209746aa7.webp,https://www.zen.com.tn/fr/produit/3031-tongs
BASKET,83.94 TND  139.90 TND,139.90 TND,Promo,2 Couleurs,"https://images.zen.com.tn/medias/folder_08_08_2024/8_U2_A3751a_798d4cec80.webp, https://images.zen.com.tn/medias/fx_folder_31_08_2024/8_U2_A3787a_41ae9c2925.webp",https://images.zen.com.tn/medias/folder_08_08_2024/8_U2_A3745_2f8a28b4f6.webp,https://www.zen.com.tn/fr/produit/3573-basket
BASKET,119.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/medias/folder_23_03_2024/8_U2_A3318aa_cfad50819b.webp, https://images.zen.com.tn/medias/folder_23_03_2024/8_U2_A3292a_8dbeb592ea.webp",https://images.zen.com.tn/medias/folder_23_03_2024/8_U2_A3270_b1f71d6275.webp,https://www.zen.com.tn/fr/produit/2730-basket
BASKET,119.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/medias/folder_18_09_2024/8_U2_A1048a_703b9a252f.webp, https://images.zen.com.tn/medias/folder_18_09_2024/8_U2_A1076a_03707aa454.webp",https://images.zen.com.tn/medias/folder_23_09_2024/8_U2_A1040_6ca3d36701.webp,https://www.zen.com.tn/fr/produit/3785-basket
BASKET,109.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/medias/folder_02_10_2024/8_U2_A4307a_30e3a5758d.webp, https://images.zen.com.tn/medias/folder_02_10_2024/8_U2_A4278a_f27faea7ff.webp",https://images.zen.com.tn/medias/folder_02_10_2024/8_U2_A4268_694fc970d8.webp,https://www.zen.com.tn/fr/produit/3840-basket
BASKET,83.94 TND,N/A,Promo,1 Couleurs,https://images.zen.com.tn/medias/folder_18_09_2024/8_U2_A1632a_572219b3a4.webp,https://images.zen.com.tn/medias/folder_23_09_2024/8_U2_A1623_39f2127868.webp,https://www.zen.com.tn/fr/produit/3778-basket
MOCASSIN,159.90 TND,N/A,No,1 Couleurs,https://images.zen.com.tn/medias/folder_23_10_2024/8_U2_A2461a_6dc798dabf.webp,https://images.zen.com.tn/medias/folder_23_10_2024/8_U2_A2447_15d67e1199.webp,https://www.zen.com.tn/fr/produit/3959-mocassin
DERBIES,159.90 TND,N/A,No,1 Couleurs,https://images.zen.com.tn/medias/folder_23_10_2024/8_U2_A2461a_064a04f335.webp,https://images.zen.com.tn/medias/folder_23_10_2024/8_U2_A2472_8808201c0f.webp,https://www.zen.com.tn/fr/produit/3960-derbies
